0_0: transcript:chrIII_pilon.g6684
0_44966: Transcript:VC2010_MAPPED_T22G5.5b.1
0_44967: transcript:chrV_pilon.g16359
0_44968: Transcript:VC2010_MAPPED_T22G5.5a.1
0_44969: Transcript:VC2010_MAPPED_C06B3.3.1
0_44970: transcript:chrV_pilon.g16360
0_44971: Transcript:VC2010_MAPPED_C06B3.2.1
0_44972: transcript:chrV_pilon.g16361
0_44973: Transcript:VC2010_MAPPED_C06B3.1.1
0_44974: transcript:chrV_pilon.g16362.1
0_44975: transcript:chrV_pilon.g16362.2
0_44976: Transcript:VC2010_MAPPED_C06B3.5.1
0_44977: transcript:chrV_pilon.g16363
0_44978: Transcript:VC2010_MAPPED_C06B3.4.1
0_44979: transcript:chrV_pilon.g16364
0_44980: Transcript:VC2010_MAPPED_C06B3.6.1
0_44981: transcript:chrV_pilon.g16365
0_44982: Transcript:VC2010_MAPPED_C06B3.7.1
0_44983: transcript:chrV_pilon.g16366
0_44984: transcript:chrV_pilon.g16367.1
0_44985: Transcript:VC2010_MAPPED_C06B3.8.1
0_44986: transcript:chrV_pilon.g16367.2
0_44987: Transcript:VC2010_MAPPED_C06B3.9.1
0_44988: transcript:chrV_pilon.g16368
0_44989: Transcript:VC2010_MAPPED_C06B3.10.1
0_44990: transcript:chrV_pilon.g16369.2
0_44991: transcript:chrV_pilon.g16369.1
0_44992: Transcript:VC2010_MAPPED_C06B3.11.1
0_44993: transcript:chrV_pilon.g16370
0_44994: Transcript:VC2010_MAPPED_C06B3.12.1
0_44995: transcript:chrV_pilon.g16371
0_44996: Transcript:VC2010_MAPPED_C06B3.13.1
0_44997: transcript:chrV_pilon.g16372.2
0_44998: transcript:chrV_pilon.g16372.1
0_44999: transcript:chrV_pilon.g16372.3
0_45000: Transcript:VC2010_MAPPED_C06B3.14.1
0_45001: transcript:chrV_pilon.g16373.1
0_45002: transcript:chrV_pilon.g16373.2
0_45003: Transcript:VC2010_MAPPED_C06B3.16.1
0_45004: transcript:chrV_pilon.g16374
0_45005: Transcript:VC2010_MAPPED_R10D12.1.1
0_45006: transcript:chrV_pilon.g16375
0_45007: Transcript:VC2010_MAPPED_R10D12.17.1
0_45008: transcript:chrV_pilon.g16376.3
0_45009: transcript:chrV_pilon.g16376.1
0_45010: transcript:chrV_pilon.g16376.2
0_45011: Transcript:VC2010_MAPPED_R10D12.2.1
0_45012: transcript:chrV_pilon.g16377
0_45013: Transcript:VC2010_MAPPED_R10D12.4.1
0_45014: transcript:chrV_pilon.g16378
0_45015: Transcript:VC2010_MAPPED_R10D12.5.1
0_45016: transcript:chrV_pilon.g16379.1
0_45017: transcript:chrV_pilon.g16379.3
0_45018: transcript:chrV_pilon.g16379.2
0_45019: Transcript:VC2010_MAPPED_R10D12.6.1
0_45020: transcript:chrV_pilon.g16380
0_45021: transcript:chrV_pilon.g16381
0_45022: Transcript:VC2010_MAPPED_R10D12.7.1
0_45023: Transcript:VC2010_MAPPED_R10D12.8.1
0_45024: transcript:chrV_pilon.g16382
0_45025: Transcript:VC2010_MAPPED_R10D12.9.1
0_45026: transcript:chrV_pilon.g16383
0_45027: Transcript:VC2010_MAPPED_R10D12.10.1
0_45028: transcript:chrV_pilon.g16384
0_45029: Transcript:VC2010_MAPPED_R10D12.11.1
0_45030: transcript:chrV_pilon.g16385
0_45031: Transcript:VC2010_MAPPED_R10D12.12.1
0_45032: transcript:chrV_pilon.g16386
0_45033: transcript:chrV_pilon.g16387.3
0_45034: Transcript:VC2010_MAPPED_R10D12.13a.1
0_45035: Transcript:VC2010_MAPPED_R10D12.13b.1
0_45036: transcript:chrV_pilon.g16387.1
0_45037: transcript:chrV_pilon.g16387.2
0_45038: Transcript:VC2010_MAPPED_R10D12.13c.1
0_45039: Transcript:VC2010_MAPPED_R10D12.14a.1
0_45040: Transcript:VC2010_MAPPED_R10D12.14b.1
0_45041: Transcript:VC2010_MAPPED_R10D12.14c.1
0_45042: Transcript:VC2010_MAPPED_R10D12.14d.1
0_45043: Transcript:VC2010_MAPPED_R10D12.14e.1
0_45044: Transcript:VC2010_MAPPED_R10D12.14f.1
0_45045: transcript:chrV_pilon.g16388.1
0_45046: transcript:chrV_pilon.g16388.2
0_45047: transcript:chrV_pilon.g16388.3
0_45048: transcript:chrV_pilon.g16389
0_45049: Transcript:VC2010_MAPPED_R10D12.15a.1
0_45050: Transcript:VC2010_MAPPED_R10D12.15b.1
0_45051: transcript:chrV_pilon.g16390.1
0_45052: transcript:chrV_pilon.g16390.2
0_45053: transcript:chrV_pilon.g16390.3
0_45054: transcript:chrV_pilon.g16391.3
0_45055: transcript:chrV_pilon.g16391.1
0_45056: transcript:chrV_pilon.g16391.2
0_45057: Transcript:VC2010_MAPPED_T26F2.1a.1
0_45058: Transcript:VC2010_MAPPED_T26F2.1b.1
0_45059: Transcript:VC2010_MAPPED_T26F2.3.1
0_45060: transcript:chrV_pilon.g16392.1
0_45061: transcript:chrV_pilon.g16392.2
0_45062: transcript:chrV_pilon.g16392.3
0_45063: Transcript:VC2010_MAPPED_CE.37.1
0_45064: transcript:chrV_pilon.g16393.2
0_45065: transcript:chrV_pilon.g16393.3
0_45066: transcript:chrV_pilon.g16393.4
0_45067: transcript:chrV_pilon.g16393.1
0_45068: Transcript:VC2010_MAPPED_F58E10.2.1
0_45069: transcript:chrV_pilon.g16394
0_45070: Transcript:VC2010_MAPPED_F58E10.1c.1
0_45071: transcript:chrV_pilon.g16395.2
0_45072: transcript:chrV_pilon.g16395.1
0_45073: Transcript:VC2010_MAPPED_F58E10.1a.1
0_45074: Transcript:VC2010_MAPPED_F58E10.1b.1
0_45075: Transcript:VC2010_MAPPED_F58E10.7.1
0_45076: transcript:chrV_pilon.g16396
0_45077: transcript:chrV_pilon.g16397
0_45078: transcript:chrV_pilon.g16398
0_45079: transcript:chrV_pilon.g16399
0_45080: Transcript:VC2010_MAPPED_F58E10.3a.1
0_45081: transcript:chrV_pilon.g16400
0_45082: Transcript:VC2010_MAPPED_F58E10.4.1
0_45083: transcript:chrV_pilon.g16401
0_45084: Transcript:VC2010_MAPPED_F58E10.5.1
0_45085: transcript:chrV_pilon.g16402
0_45086: Transcript:VC2010_MAPPED_F58E10.6.1
0_45087: transcript:chrV_pilon.g16403
0_45088: Transcript:VC2010_MAPPED_T08G5.10.1
0_45089: transcript:chrV_pilon.g16404
0_45090: Transcript:VC2010_MAPPED_T08G5.1.1
0_45091: transcript:chrV_pilon.g16405
0_45092: Transcript:VC2010_MAPPED_T08G5.15.1
0_45093: transcript:chrV_pilon.g16406
0_45094: transcript:chrV_pilon.g16407.3
0_45095: transcript:chrV_pilon.g16407.2
0_45096: transcript:chrV_pilon.g16407.1
0_45097: transcript:chrV_pilon.g16408
0_45098: Transcript:VC2010_MAPPED_T08G5.2.1
0_45099: Transcript:VC2010_MAPPED_T08G5.3b.1
0_45100: Transcript:VC2010_MAPPED_T08G5.3a.1
0_45101: transcript:chrV_pilon.g16409
0_45102: transcript:chrV_pilon.g16410
0_45103: Transcript:VC2010_MAPPED_T08G5.12.1
0_45104: transcript:chrV_pilon.g16411
0_45105: Transcript:VC2010_MAPPED_T08G5.5a.1
0_45106: Transcript:VC2010_MAPPED_T08G5.5b.1
0_45107: Transcript:VC2010_MAPPED_T08G5.5c.1
0_45108: Transcript:VC2010_MAPPED_T08G5.5d.1
0_45109: transcript:chrV_pilon.g16412.1
0_45110: transcript:chrV_pilon.g16412.2
0_45111: transcript:chrV_pilon.g16412.3
0_45112: transcript:chrV_pilon.g16413
0_45113: transcript:chrV_pilon.g16414
0_45114: Transcript:VC2010_MAPPED_T08G5.7.1
0_45115: transcript:chrV_pilon.g16415.3
0_45116: transcript:chrV_pilon.g16415.2
0_45117: transcript:chrV_pilon.g16415.1
0_45118: transcript:chrV_pilon.g16416.1
0_45119: transcript:chrV_pilon.g16416.3
0_45120: transcript:chrV_pilon.g16416.2
0_45121: transcript:chrV_pilon.g16417.1
0_45122: Transcript:VC2010_MAPPED_F58D12.5.1
0_45123: transcript:chrV_pilon.g16417.2
0_45124: Transcript:VC2010_MAPPED_F58D12.1.1
0_45125: transcript:chrV_pilon.g16418
0_45126: Transcript:VC2010_MAPPED_F58D12.3.1
0_45127: transcript:chrV_pilon.g16419
0_45128: Transcript:VC2010_MAPPED_D1086.21.1
0_45129: transcript:chrV_pilon.g16420
0_45130: Transcript:VC2010_MAPPED_D1086.17.1
0_45131: transcript:chrV_pilon.g16421
0_45132: Transcript:VC2010_MAPPED_D1086.11a.1
0_45133: Transcript:VC2010_MAPPED_D1086.11b.1
0_45134: transcript:chrV_pilon.g16422
0_45135: transcript:chrV_pilon.g16423
0_45136: Transcript:VC2010_MAPPED_D1086.6.1
0_45137: transcript:chrV_pilon.g16424.1
0_45138: transcript:chrV_pilon.g16424.4
0_45139: transcript:chrV_pilon.g16424.3
0_45140: Transcript:VC2010_MAPPED_D1086.10a.1
0_45141: Transcript:VC2010_MAPPED_D1086.10c.1
0_45142: transcript:chrV_pilon.g16424.2
0_45143: Transcript:VC2010_MAPPED_D1086.7.1
0_45144: transcript:chrV_pilon.g16425
0_45145: Transcript:VC2010_MAPPED_D1086.18.1
0_45146: transcript:chrV_pilon.g16426.1
0_45147: transcript:chrV_pilon.g16426.2
0_45148: Transcript:VC2010_MAPPED_D1086.19.1
0_45149: transcript:chrV_pilon.g16427
0_45150: Transcript:VC2010_MAPPED_D1086.5.1
0_45151: transcript:chrV_pilon.g16428
0_45152: Transcript:VC2010_MAPPED_D1086.4a.1
0_45153: transcript:chrV_pilon.g16429
0_45154: Transcript:VC2010_MAPPED_D1086.4b.1
0_45155: Transcript:VC2010_MAPPED_D1086.3.1
0_45156: transcript:chrV_pilon.g16430
0_45157: Transcript:VC2010_MAPPED_D1086.8a.1
0_45158: transcript:chrV_pilon.g16431
0_45159: Transcript:VC2010_MAPPED_D1086.8b.1
0_45160: Transcript:VC2010_MAPPED_D1086.2b.1
0_45161: Transcript:VC2010_MAPPED_D1086.2a.1
0_45162: transcript:chrV_pilon.g16432
0_45163: Transcript:VC2010_MAPPED_D1086.1.1
0_45164: transcript:chrV_pilon.g16433
0_45165: Transcript:VC2010_MAPPED_D1086.12a.1
0_45166: Transcript:VC2010_MAPPED_D1086.12b.1
0_45167: transcript:chrV_pilon.g16434.1
0_45168: transcript:chrV_pilon.g16434.2
0_45169: Transcript:VC2010_MAPPED_D1086.12c.1
0_45170: Transcript:VC2010_MAPPED_D1086.9.1
0_45171: transcript:chrV_pilon.g16435
0_45172: Transcript:VC2010_MAPPED_H39E23.3.1
0_45173: transcript:chrV_pilon.g16436
0_45174: Transcript:VC2010_MAPPED_H39E23.2.1
0_45175: transcript:chrV_pilon.g16437
0_45176: Transcript:VC2010_MAPPED_H39E23.1i.1
0_45177: Transcript:VC2010_MAPPED_H39E23.1k.1
0_45178: Transcript:VC2010_MAPPED_H39E23.1h.1
0_45179: Transcript:VC2010_MAPPED_H39E23.1g.1
0_45180: Transcript:VC2010_MAPPED_H39E23.1d.1
0_45181: transcript:chrV_pilon.g16438.3
0_45182: Transcript:VC2010_MAPPED_H39E23.1l.1
0_45183: Transcript:VC2010_MAPPED_H39E23.1c.1
0_45184: Transcript:VC2010_MAPPED_H39E23.1f.1
0_45185: Transcript:VC2010_MAPPED_H39E23.1b.1
0_45186: Transcript:VC2010_MAPPED_H39E23.1a.1
0_45187: Transcript:VC2010_MAPPED_H39E23.1j.1
0_45188: transcript:chrV_pilon.g16438.1
0_45189: transcript:chrV_pilon.g16438.2
0_45190: Transcript:VC2010_MAPPED_H39E23.1e.1
0_45191: Transcript:VC2010_MAPPED_H39E23.1m.1
0_45192: Transcript:VC2010_MAPPED_AH10.4.1
0_45193: Transcript:VC2010_MAPPED_AH10.1.1
0_45194: transcript:chrV_pilon.g16439
0_45195: Transcript:VC2010_MAPPED_AH10.2.1
0_45196: transcript:chrV_pilon.g16440
0_45197: Transcript:VC2010_MAPPED_T02B5.3.1
0_45198: transcript:chrV_pilon.g16441
0_45199: Transcript:VC2010_MAPPED_T02B5.4.1
0_45200: transcript:chrV_pilon.g16442
0_45201: Transcript:VC2010_MAPPED_T02B5.1.1
0_45202: transcript:chrV_pilon.g16443
0_45203: Transcript:VC2010_MAPPED_T02B5.2.1
0_45204: transcript:chrV_pilon.g16444
0_45205: Transcript:VC2010_MAPPED_ZC376.3.1
0_45206: transcript:chrV_pilon.g16445
0_45207: Transcript:VC2010_MAPPED_ZC376.2a.1
0_45208: Transcript:VC2010_MAPPED_ZC376.2b.1
0_45209: transcript:chrV_pilon.g16446.1
0_45210: transcript:chrV_pilon.g16446.2
0_45211: Transcript:VC2010_MAPPED_ZC376.2c.1
0_45212: transcript:chrV_pilon.g16447.1
0_45213: transcript:chrV_pilon.g16447.2
0_45214: Transcript:VC2010_MAPPED_ZC376.1.1
0_45215: Transcript:VC2010_MAPPED_ZC376.4.1
0_45216: transcript:chrV_pilon.g16448
0_45217: Transcript:VC2010_MAPPED_ZC376.8.1
0_45218: transcript:chrV_pilon.g16449
0_45219: transcript:chrV_pilon.g16450.2
0_45220: transcript:chrV_pilon.g16450.3
0_45221: transcript:chrV_pilon.g16450.1
0_45222: Transcript:VC2010_MAPPED_ZC376.5.1
0_45223: transcript:chrV_pilon.g16451
0_45224: Transcript:VC2010_MAPPED_ZC376.6a.1
0_45225: Transcript:VC2010_MAPPED_ZC376.6b.1
0_45226: transcript:chrV_pilon.g16452
0_45227: Transcript:VC2010_MAPPED_ZC376.7a.1
0_45228: Transcript:VC2010_MAPPED_ZC376.7b.1
0_45229: Transcript:VC2010_MAPPED_ZC376.7c.1
0_45230: transcript:chrV_pilon.g16453.1
0_45231: transcript:chrV_pilon.g16453.2
0_45232: Transcript:VC2010_MAPPED_ZC376.7d.1
0_45233: transcript:chrV_pilon.g16454.2
0_45234: transcript:chrV_pilon.g16454.3
0_45235: transcript:chrV_pilon.g16454.1
0_45236: Transcript:VC2010_MAPPED_T16A9.3.1
0_45237: transcript:chrV_pilon.g16455
0_45238: Transcript:VC2010_MAPPED_T16A9.2.1
0_45239: Transcript:VC2010_MAPPED_T16A9.5.1
0_45240: transcript:chrV_pilon.g16456
0_45241: Transcript:VC2010_MAPPED_T16A9.4a.1
0_45242: Transcript:VC2010_MAPPED_T16A9.4b.1
0_45243: transcript:chrV_pilon.g16457.1
0_45244: transcript:chrV_pilon.g16457.3
0_45245: Transcript:VC2010_MAPPED_T16A9.4c.1
0_45246: Transcript:VC2010_MAPPED_T16A9.4d.1
0_45247: transcript:chrV_pilon.g16457.2
0_45248: Transcript:VC2010_MAPPED_K02E11.1.1
0_45249: transcript:chrV_pilon.g16458
0_45250: Transcript:VC2010_MAPPED_K02E11.10.1
0_45251: transcript:chrV_pilon.g16459
0_45252: Transcript:VC2010_MAPPED_K02E11.2.1
0_45253: transcript:chrV_pilon.g16460
0_45254: Transcript:VC2010_MAPPED_K02E11.3.1
0_45255: transcript:chrV_pilon.g16461
0_45256: Transcript:VC2010_MAPPED_K02E11.4d.1
0_45257: Transcript:VC2010_MAPPED_K02E11.4e.1
0_45258: Transcript:VC2010_MAPPED_K02E11.4a.1
0_45259: Transcript:VC2010_MAPPED_K02E11.4b.1
0_45260: Transcript:VC2010_MAPPED_K02E11.4c.1
0_45261: transcript:chrV_pilon.g16462.1
0_45262: transcript:chrV_pilon.g16462.2
0_45263: Transcript:VC2010_MAPPED_K02E11.6.1
0_45264: transcript:chrV_pilon.g16463
0_45265: Transcript:VC2010_MAPPED_K02E11.5.1
0_45266: transcript:chrV_pilon.g16464
0_45267: Transcript:VC2010_MAPPED_K02E11.7.1
0_45268: transcript:chrV_pilon.g16465
0_45269: Transcript:VC2010_MAPPED_F40G12.1.1
0_45270: transcript:chrV_pilon.g16466
0_45271: Transcript:VC2010_MAPPED_F40G12.2.1
0_45272: transcript:chrV_pilon.g16467
0_45273: transcript:chrV_pilon.g16468.3
0_45274: transcript:chrV_pilon.g16468.1
0_45275: transcript:chrV_pilon.g16468.2
0_45276: Transcript:VC2010_MAPPED_F40G12.4.1
0_45277: transcript:chrV_pilon.g16469
0_45278: Transcript:VC2010_MAPPED_F40G12.5.1
0_45279: transcript:chrV_pilon.g16470
0_45280: Transcript:VC2010_MAPPED_F40G12.6.1
0_45281: transcript:chrV_pilon.g16471
0_45282: Transcript:VC2010_MAPPED_F40G12.7.1
0_45283: transcript:chrV_pilon.g16472
0_45284: Transcript:VC2010_MAPPED_F40G12.8.1
0_45285: transcript:chrV_pilon.g16473
0_45286: Transcript:VC2010_MAPPED_F40G12.15.1
0_45287: transcript:chrV_pilon.g16474
0_45288: Transcript:VC2010_MAPPED_F40G12.9.1
0_45289: transcript:chrV_pilon.g16475
0_45290: Transcript:VC2010_MAPPED_F40G12.10.1
0_45291: transcript:chrV_pilon.g16476.1
0_45292: transcript:chrV_pilon.g16476.3
0_45293: Transcript:VC2010_MAPPED_F40G12.11.1
0_45294: transcript:chrV_pilon.g16476.2
0_45295: Transcript:VC2010_MAPPED_F14D7.1.1
0_45296: transcript:chrV_pilon.g16477.1
0_45297: transcript:chrV_pilon.g16477.2
0_45298: Transcript:VC2010_MAPPED_F14D7.18.1
0_45299: transcript:chrV_pilon.g16478
0_45300: Transcript:VC2010_MAPPED_F14D7.2.1
0_45301: transcript:chrV_pilon.g16479
0_45302: Transcript:VC2010_MAPPED_F14D7.9.1
0_45303: transcript:chrV_pilon.g16480
0_45304: Transcript:VC2010_MAPPED_F14D7.3.1
0_45305: Transcript:VC2010_MAPPED_F14D7.5b.1
0_45306: Transcript:VC2010_MAPPED_F14D7.5a.1
0_45307: transcript:chrV_pilon.g16481
0_45308: Transcript:VC2010_MAPPED_F14D7.12.1
0_45309: transcript:chrV_pilon.g16482
0_45310: Transcript:VC2010_MAPPED_F14D7.6b.1
0_45311: Transcript:VC2010_MAPPED_F14D7.6a.1
0_45312: Transcript:VC2010_MAPPED_F14D7.6d.1
0_45313: transcript:chrV_pilon.g16483
0_45314: Transcript:VC2010_MAPPED_F14D7.6c.1
0_45315: Transcript:VC2010_MAPPED_F14D7.7.1
0_45316: transcript:chrV_pilon.g16484
0_45317: transcript:chrV_pilon.g16485
0_45318: Transcript:VC2010_MAPPED_F14D7.10.1
0_45319: transcript:chrV_pilon.g16486
0_45320: transcript:chrV_pilon.g16487
0_45321: Transcript:VC2010_MAPPED_F14D7.14.1
0_45322: transcript:chrV_pilon.g16488
0_45323: Transcript:VC2010_MAPPED_F14D7.11.1
0_45324: transcript:chrV_pilon.g16489
0_45325: Transcript:VC2010_MAPPED_F14D7.8.1
0_45326: transcript:chrV_pilon.g16490
0_45327: Transcript:VC2010_MAPPED_F47B8.1.1
0_45328: transcript:chrV_pilon.g16491
0_45329: Transcript:VC2010_MAPPED_F47B8.2.1
0_45330: transcript:chrV_pilon.g16492
0_45331: Transcript:VC2010_MAPPED_F47B8.13.1
0_45332: transcript:chrV_pilon.g16493
0_45333: Transcript:VC2010_MAPPED_F47B8.14.1
0_45334: transcript:chrV_pilon.g16494
0_45335: transcript:chrV_pilon.g16495.2
0_45336: Transcript:VC2010_MAPPED_F47B8.3.1
0_45337: transcript:chrV_pilon.g16495.1
0_45338: Transcript:VC2010_MAPPED_F47B8.4a.1
0_45339: Transcript:VC2010_MAPPED_F47B8.4b.1
0_45340: transcript:chrV_pilon.g16496
0_45341: Transcript:VC2010_MAPPED_F47B8.18.1
0_45342: transcript:chrV_pilon.g16497
0_45343: Transcript:VC2010_MAPPED_F47B8.5a.1
0_45344: Transcript:VC2010_MAPPED_F47B8.5b.1
0_45345: transcript:chrV_pilon.g16498.1
0_45346: transcript:chrV_pilon.g16498.2
0_45347: transcript:chrV_pilon.g16498.3
0_45348: Transcript:VC2010_MAPPED_F47B8.6.1
0_45349: transcript:chrV_pilon.g16499
0_45350: Transcript:VC2010_MAPPED_F47B8.8.1
0_45351: transcript:chrV_pilon.g16500
0_45352: Transcript:VC2010_MAPPED_F47B8.7.1
0_45353: transcript:chrV_pilon.g16501
0_45354: Transcript:VC2010_MAPPED_F47B8.12.1
0_45355: transcript:chrV_pilon.g16502
0_45356: Transcript:VC2010_MAPPED_F47B8.9b.1
0_45357: Transcript:VC2010_MAPPED_F47B8.9a.1
0_45358: transcript:chrV_pilon.g16503
0_45359: Transcript:VC2010_MAPPED_F47B8.10.1
0_45360: transcript:chrV_pilon.g16504
0_45361: Transcript:VC2010_MAPPED_Y49A3A.1.1
0_45362: transcript:chrV_pilon.g16505
0_45363: Transcript:VC2010_MAPPED_Y49A3A.2.1
0_45364: transcript:chrV_pilon.g16506
0_45365: Transcript:VC2010_MAPPED_Y49A3A.3.1
0_45366: transcript:chrV_pilon.g16507
0_45367: Transcript:VC2010_MAPPED_Y49A3A.5.1
0_45368: transcript:chrV_pilon.g16508
0_45369: Transcript:VC2010_MAPPED_Y49A3A.4.1
0_45370: transcript:chrV_pilon.g16509
0_45371: transcript:chrV_pilon.g16510.1
0_45372: Transcript:VC2010_MAPPED_F56A12.1.1
0_45373: transcript:chrV_pilon.g16510.2
0_45374: Transcript:VC2010_MAPPED_F56A12.2a.1
0_45375: Transcript:VC2010_MAPPED_F56A12.2b.1
0_45376: transcript:chrV_pilon.g16511
0_45377: Transcript:VC2010_MAPPED_C15H11.10.1
0_45378: transcript:chrV_pilon.g16512
0_45379: Transcript:VC2010_MAPPED_C15H11.1.1
0_45380: transcript:chrV_pilon.g16513
0_45381: Transcript:VC2010_MAPPED_C15H11.13.1
0_45382: transcript:chrV_pilon.g16514
0_45383: Transcript:VC2010_MAPPED_C15H11.2a.1
0_45384: transcript:chrV_pilon.g16515
0_45385: Transcript:VC2010_MAPPED_C15H11.2b.1
0_45386: Transcript:VC2010_MAPPED_C15H11.3.1
0_45387: transcript:chrV_pilon.g16516
0_45388: Transcript:VC2010_MAPPED_C15H11.11a.1
0_45389: Transcript:VC2010_MAPPED_C15H11.11b.1
0_45390: transcript:chrV_pilon.g16517
0_45391: Transcript:VC2010_MAPPED_C15H11.6.1
0_45392: transcript:chrV_pilon.g16518.1
0_45393: transcript:chrV_pilon.g16518.2
0_45394: Transcript:VC2010_MAPPED_C15H11.5.1
0_45395: transcript:chrV_pilon.g16519
0_45396: Transcript:VC2010_MAPPED_C15H11.4.1
0_45397: transcript:chrV_pilon.g16520
0_45398: Transcript:VC2010_MAPPED_C15H11.7.1
0_45399: transcript:chrV_pilon.g16521
0_45400: Transcript:VC2010_MAPPED_C15H11.8.1
0_45401: transcript:chrV_pilon.g16522
0_45402: Transcript:VC2010_MAPPED_C15H11.9.1
0_45403: transcript:chrV_pilon.g16523
0_45404: Transcript:VC2010_MAPPED_F23B12.1.1
0_45405: transcript:chrV_pilon.g16524
0_45406: Transcript:VC2010_MAPPED_F23B12.9.1
0_45407: transcript:chrV_pilon.g16525
0_45408: Transcript:VC2010_MAPPED_F23B12.4c.1
0_45409: Transcript:VC2010_MAPPED_F23B12.4a.1
0_45410: transcript:chrV_pilon.g16526
0_45411: Transcript:VC2010_MAPPED_F23B12.4b.1
0_45412: Transcript:VC2010_MAPPED_F23B12.5.1
0_45413: transcript:chrV_pilon.g16527
0_45414: Transcript:VC2010_MAPPED_F23B12.6.1
0_45415: transcript:chrV_pilon.g16528
0_45416: Transcript:VC2010_MAPPED_F23B12.7.1
0_45417: transcript:chrV_pilon.g16529
0_45418: Transcript:VC2010_MAPPED_F23B12.8a.1
0_45419: transcript:chrV_pilon.g16530
0_45420: Transcript:VC2010_MAPPED_F23B12.8b.1
0_45421: Transcript:VC2010_MAPPED_F08H9.1.1
0_45422: transcript:chrV_pilon.g16531
0_45423: Transcript:VC2010_MAPPED_F08H9.2.1
0_45424: transcript:chrV_pilon.g16532
0_45425: Transcript:VC2010_MAPPED_F08H9.3.1
0_45426: transcript:chrV_pilon.g16533
0_45427: Transcript:VC2010_MAPPED_F08H9.4b.1
0_45428: Transcript:VC2010_MAPPED_F08H9.4a.1
0_45429: transcript:chrV_pilon.g16534
0_45430: Transcript:VC2010_MAPPED_F08H9.12.1
0_45431: transcript:chrV_pilon.g16535
0_45432: Transcript:VC2010_MAPPED_F08H9.6.1
0_45433: transcript:chrV_pilon.g16536
0_45434: Transcript:VC2010_MAPPED_F08H9.5.1
0_45435: transcript:chrV_pilon.g16537
0_45436: Transcript:VC2010_MAPPED_F08H9.7.1
0_45437: transcript:chrV_pilon.g16538
0_45438: Transcript:VC2010_MAPPED_F08H9.8.1
0_45439: transcript:chrV_pilon.g16539.1
0_45440: transcript:chrV_pilon.g16539.3
0_45441: transcript:chrV_pilon.g16539.2
0_45442: transcript:chrV_pilon.g16539.4
0_45443: Transcript:VC2010_MAPPED_F08H9.9.1
0_45444: transcript:chrV_pilon.g16540.2
0_45445: transcript:chrV_pilon.g16540.1
0_45446: Transcript:VC2010_MAPPED_R02D5.7.1
0_45447: transcript:chrV_pilon.g16541
0_45448: Transcript:VC2010_MAPPED_R02D5.10.1
0_45449: transcript:chrV_pilon.g16542
0_45450: Transcript:VC2010_MAPPED_R02D5.3.1
0_45451: transcript:chrV_pilon.g16543
0_45452: Transcript:VC2010_MAPPED_R02D5.4.1
0_45453: transcript:chrV_pilon.g16544
0_45454: Transcript:VC2010_MAPPED_R02D5.24.1
0_45455: Transcript:VC2010_MAPPED_R02D5.1.1
0_45456: transcript:chrV_pilon.g16545
0_45457: Transcript:VC2010_MAPPED_R02D5.9.1
0_45458: transcript:chrV_pilon.g16546
0_45459: Transcript:VC2010_MAPPED_R02D5.6c.1
0_45460: Transcript:VC2010_MAPPED_R02D5.6d.1
0_45461: transcript:chrV_pilon.g16547.3
0_45462: Transcript:VC2010_MAPPED_R02D5.6b.1
0_45463: transcript:chrV_pilon.g16547.1
0_45464: transcript:chrV_pilon.g16547.2
0_45465: Transcript:VC2010_MAPPED_R02D5.6a.1
0_45466: Transcript:VC2010_MAPPED_R02D5.8.1
0_45467: transcript:chrV_pilon.g16548
0_45468: transcript:chrV_pilon.g16549.2
0_45469: Transcript:VC2010_MAPPED_C53A5.17.1
0_45470: transcript:chrV_pilon.g16549.1
0_45471: Transcript:VC2010_MAPPED_C53A5.16a.1
0_45472: Transcript:VC2010_MAPPED_C53A5.16b.1
0_45473: transcript:chrV_pilon.g16550.1
0_45474: transcript:chrV_pilon.g16550.2
0_45475: Transcript:VC2010_MAPPED_C53A5.2.1
0_45476: transcript:chrV_pilon.g16551
0_45477: Transcript:VC2010_MAPPED_C53A5.1.1
0_45478: transcript:chrV_pilon.g16552
0_45479: Transcript:VC2010_MAPPED_C53A5.3.1
0_45480: transcript:chrV_pilon.g16553
0_45481: transcript:chrV_pilon.g16554
0_45482: Transcript:VC2010_MAPPED_C53A5.5a.1
0_45483: Transcript:VC2010_MAPPED_C53A5.4.1
0_45484: transcript:chrV_pilon.g16555
0_45485: transcript:chrV_pilon.g16556.1
0_45486: transcript:chrV_pilon.g16556.2
0_45487: Transcript:VC2010_MAPPED_C53A5.5b.1
0_45488: Transcript:VC2010_MAPPED_C53A5.6a.1
0_45489: Transcript:VC2010_MAPPED_C53A5.6b.1
0_45490: transcript:chrV_pilon.g16557
0_45491: Transcript:VC2010_MAPPED_C53A5.13a.1
0_45492: transcript:chrV_pilon.g16558
0_45493: Transcript:VC2010_MAPPED_C53A5.13b.1
0_45494: Transcript:VC2010_MAPPED_C53A5.8.1
0_45495: transcript:chrV_pilon.g16559
0_45496: Transcript:VC2010_MAPPED_C53A5.9.1
0_45497: transcript:chrV_pilon.g16560
0_45498: Transcript:VC2010_MAPPED_C53A5.10.1
0_45499: transcript:chrV_pilon.g16561
0_45500: Transcript:VC2010_MAPPED_C53A5.11.1
0_45501: Transcript:VC2010_MAPPED_Y40H4A.1a.1
